variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7
median_hh_income_z,-0.045706326407723714,-0.001614751880596869,-0.9956269146265825,0.021766468036428687,-0.05327873961513653,-0.05723545314718278,-0.006860820002192348
share_ba_plus_z,-0.8279788263221923,0.27345414156927944,-0.017106504780299594,-0.23666037436998003,0.33131964344624015,-0.20911171436834203,0.17283725032118294
share_age_65plus_z,-0.06345072530592274,-0.9258977813385089,0.07608421871428707,0.04475870868042013,-0.08177005045878928,-0.35149135384941194,0.02574180738707732
share_internet_sub_z,-0.7603340362867832,0.3660485786637369,0.09274361301524081,-0.22962077561505642,-0.4587456365515392,-0.12471461217743476,-0.02392110840412844
share_dividend_z,-0.8963120386084164,-0.25153658002055873,-0.015411702281642417,-0.10900408073836874,0.17226142556602822,0.07648943531538174,-0.2927627635466024
share_interest_z,-0.7527214230365451,-0.5075673452869219,-0.047483349366378304,-0.0051846666655297495,-0.09095890936493956,0.3662478471612395,0.17633289914715627
refi_share_z,-0.6873270183112805,0.23511564746980979,0.049295278228089524,0.6813462869079017,-0.005580245359251064,-0.07472100047386826,0.0050048002274952165
