component,explained_variance_ratio
PC1,0.44459358396325405
PC2,0.20603323816707755
PC3,0.14441114074528338
PC4,0.08390749822767901
PC5,0.05253198450065712
PC6,0.047382122811630734
PC7,0.021140431584418206
